timestamp,symbol,expiry,strike,option_type,spot_price,last_price,volume,buy_qty,sell_qty,oi,oi_day_high,oi_day_low,bid_price,ask_price,change,change_percent
2026-01-12 10:46:30.079121,NIFTY2611325700CE,2026-01-13,25700.0,CE,25550.05,27.3,177778445,325,3510,20425860,20425860,6130995,27.3,27.35,0,0
2026-01-12 10:46:30.079373,NIFTY2611325700PE,2026-01-13,25700.0,PE,25550.05,160.0,115525020,715,65,6916325,10185305,6916325,159.9,160.0,0,0
2026-01-12 10:46:30.079588,NIFTY2611325650CE,2026-01-13,25650.0,CE,25550.05,40.8,130619580,4030,4225,11867570,11867570,1735305,40.15,40.25,0,0
2026-01-12 10:46:30.079773,NIFTY2611325650PE,2026-01-13,25650.0,PE,25550.05,123.5,133597295,715,780,7342270,9432150,5446805,124.35,124.6,0,0
2026-01-12 10:46:30.079955,NIFTY2611325750CE,2026-01-13,25750.0,CE,25550.05,17.95,97910410,8710,7995,9541480,9997715,4081740,17.9,17.95,0,0
2026-01-12 10:46:30.080129,NIFTY2611325750PE,2026-01-13,25750.0,PE,25550.05,199.05,30124185,715,520,2259075,3594760,2259075,199.05,199.45,0,0
2026-01-12 10:46:30.080304,NIFTY2611325600CE,2026-01-13,25600.0,CE,25550.05,59.85,201064565,2860,1495,19363760,19363760,1069770,59.3,59.45,0,0
2026-01-12 10:46:30.080471,NIFTY2611325600PE,2026-01-13,25600.0,PE,25550.05,93.1,302254030,1105,3575,20132580,22077900,7440225,93.65,93.9,0,0
2026-01-12 10:46:30.080647,NIFTY2611325800CE,2026-01-13,25800.0,CE,25550.05,12.1,128195795,44330,2990,17803565,17803565,9555715,11.85,11.9,0,0
2026-01-12 10:46:30.080813,NIFTY2611325800PE,2026-01-13,25800.0,PE,25550.05,244.1,26625950,65,260,3156075,4433910,3156075,245.4,245.8,0,0
2026-01-12 10:46:30.080978,NIFTY2611325550CE,2026-01-13,25550.0,CE,25550.05,86.4,86131370,3055,1430,6774755,6774755,200265,85.0,85.15,0,0
2026-01-12 10:46:30.081130,NIFTY2611325550PE,2026-01-13,25550.0,PE,25550.05,68.0,231705435,325,4420,16525600,17357470,2865460,69.3,69.45,0,0
2026-01-12 10:46:30.081279,NIFTY2611325850CE,2026-01-13,25850.0,CE,25550.05,8.5,71877910,86190,27105,8641425,8641425,5254210,8.3,8.35,0,0
2026-01-12 10:46:30.081430,NIFTY2611325850PE,2026-01-13,25850.0,PE,25550.05,289.2,5079295,130,1950,1562080,1925820,1562080,291.5,292.05,0,0
2026-01-12 10:46:30.081580,NIFTY2611325500CE,2026-01-13,25500.0,CE,25550.05,118.45,55982875,130,1040,5309655,5309655,763425,118.2,118.45,0,0
2026-01-12 10:46:30.081729,NIFTY2611325500PE,2026-01-13,25500.0,PE,25550.05,49.95,246583740,3575,6370,23385505,23423335,10784670,50.7,50.85,0,0
2026-01-12 10:46:30.081881,NIFTY2611325900CE,2026-01-13,25900.0,CE,25550.05,6.35,89313315,54210,154050,15336100,15554240,12634245,6.3,6.35,0,0
2026-01-12 10:46:30.082029,NIFTY2611325900PE,2026-01-13,25900.0,PE,25550.05,337.25,7350330,130,390,3167710,4103385,3167710,339.4,339.95,0,0
2026-01-12 10:46:30.082180,NIFTY2611325450CE,2026-01-13,25450.0,CE,25550.05,153.9,8528910,260,325,674960,674960,50505,152.45,152.75,0,0
2026-01-12 10:46:30.082326,NIFTY2611325450PE,2026-01-13,25450.0,PE,25550.05,36.0,104874185,8515,780,8141835,8164975,2294890,36.4,36.5,0,0
2026-01-12 10:46:30.082479,NIFTY2611325950CE,2026-01-13,25950.0,CE,25550.05,5.0,48787310,159770,21515,8612500,8631155,6407505,4.95,5.0,0,0
2026-01-12 10:46:30.082628,NIFTY2611325950PE,2026-01-13,25950.0,PE,25550.05,384.8,1813760,130,195,1321905,1555450,1321905,388.0,388.75,0,0
2026-01-12 10:46:30.082803,NIFTY2611325400CE,2026-01-13,25400.0,CE,25550.05,192.4,8328710,650,260,1019850,1019850,143975,192.8,193.2,0,0
2026-01-12 10:46:30.082956,NIFTY2611325400PE,2026-01-13,25400.0,PE,25550.05,25.8,119264340,16510,5915,13840645,13870805,7437950,26.0,26.1,0,0
2026-01-12 10:46:30.083110,NIFTY2611326000CE,2026-01-13,26000.0,CE,25550.05,4.45,83368285,105560,33215,21607430,21760505,19161350,4.4,4.45,0,0
2026-01-12 10:46:30.083257,NIFTY2611326000PE,2026-01-13,26000.0,PE,25550.05,436.8,3671525,65,65,3122990,3529760,3116490,437.05,437.35,0,0
2026-01-12 10:46:30.083407,NIFTY2611325350CE,2026-01-13,25350.0,CE,25550.05,237.25,978770,260,65,131625,131625,33215,237.4,237.9,0,0
2026-01-12 10:46:30.083552,NIFTY2611325350PE,2026-01-13,25350.0,PE,25550.05,18.9,53169610,7410,130,5036915,5044975,1565070,18.9,18.95,0,0
2026-01-12 10:46:30.083698,NIFTY2611326050CE,2026-01-13,26050.0,CE,25550.05,4.0,38390690,110240,93340,9613110,10454860,9613110,3.95,4.0,0,0
2026-01-12 10:46:30.083845,NIFTY2611326050PE,2026-01-13,26050.0,PE,25550.05,486.1,742755,390,130,815620,1032460,815620,484.2,485.9,0,0
2026-01-12 10:46:30.083996,NIFTY2611326100PE,2026-01-13,26100.0,PE,25550.05,534.75,970125,65,390,1960465,2199470,1960465,535.7,537.1,0,0
2026-01-12 10:46:30.084141,NIFTY2611327550CE,2026-01-13,27550.0,CE,25550.05,1.35,1806805,58045,50310,315380,656825,312585,1.35,1.4,0,0
2026-01-12 10:46:30.084291,NIFTY2611327550PE,2026-01-13,27550.0,PE,25550.05,1326.75,0,130,65,260,260,260,1967.05,1993.5,0,0
2026-01-12 10:46:30.084437,NIFTY2611327500CE,2026-01-13,27500.0,CE,25550.05,1.35,12417210,109655,87880,7090265,8587475,7034300,1.35,1.4,0,0
2026-01-12 10:46:30.084586,NIFTY2611327500PE,2026-01-13,27500.0,PE,25550.05,1907.8,260,65,130,5395,5525,5395,1922.15,1940.85,0,0
2026-01-12 10:46:30.084738,NIFTY2611327450CE,2026-01-13,27450.0,CE,25550.05,1.4,1834755,31525,98410,316810,565305,316810,1.4,1.45,0,0
2026-01-12 10:46:30.084887,NIFTY2611327450PE,2026-01-13,27450.0,PE,25550.05,1491.85,0,780,195,195,195,195,1867.35,1891.3,0,0
2026-01-12 10:46:30.085031,NIFTY2611327400CE,2026-01-13,27400.0,CE,25550.05,1.45,2659280,71370,55510,2326675,2747355,2321735,1.4,1.45,0,0
2026-01-12 10:46:30.085178,NIFTY2611327400PE,2026-01-13,27400.0,PE,25550.05,1270.25,0,780,130,260,260,260,1817.45,1839.8,0,0
2026-01-12 10:46:30.085324,NIFTY2611327350CE,2026-01-13,27350.0,CE,25550.05,1.4,1530490,76960,50050,509015,759330,509015,1.4,1.45,0,0
2026-01-12 10:46:30.085468,NIFTY2611327350PE,2026-01-13,27350.0,PE,25550.05,1186.75,0,780,195,260,260,260,1767.4,1790.75,0,0
2026-01-12 10:46:30.085619,NIFTY2611327300CE,2026-01-13,27300.0,CE,25550.05,1.4,3932890,108160,43420,2470260,3418220,2469480,1.35,1.4,0,0
2026-01-12 10:46:30.085775,NIFTY2611327300PE,2026-01-13,27300.0,PE,25550.05,1585.95,0,65,130,1690,1690,1690,1720.0,1741.8,0,0
2026-01-12 10:46:30.085924,NIFTY2611327250CE,2026-01-13,27250.0,CE,25550.05,1.45,1341470,30290,61035,689650,725595,689650,1.4,1.45,0,0
2026-01-12 10:46:30.086068,NIFTY2611327250PE,2026-01-13,27250.0,PE,25550.05,1130.0,0,780,195,130,130,130,1667.6,1690.75,0,0
2026-01-12 10:46:30.086218,NIFTY2611327200CE,2026-01-13,27200.0,CE,25550.05,1.4,3857035,50570,109460,3560570,3962400,3560570,1.4,1.45,0,0
2026-01-12 10:46:30.086365,NIFTY2611327200PE,2026-01-13,27200.0,PE,25550.05,1285.0,0,780,195,24570,24570,24570,1617.8,1640.55,0,0
2026-01-12 10:46:30.086513,NIFTY2611327150CE,2026-01-13,27150.0,CE,25550.05,1.45,2519985,29900,71240,1036360,1136330,1013285,1.45,1.5,0,0
2026-01-12 10:46:30.086659,NIFTY2611327150PE,2026-01-13,27150.0,PE,25550.05,1155.0,0,780,195,390,390,390,1567.85,1590.65,0,0
2026-01-12 10:46:30.086806,NIFTY2611327100CE,2026-01-13,27100.0,CE,25550.05,1.45,6652100,175565,79300,3347760,3548740,3318900,1.4,1.45,0,0
