timestamp,symbol,expiry,strike,option_type,spot_price,last_price,volume,buy_qty,sell_qty,oi,oi_day_high,oi_day_low,bid_price,ask_price,change,change_percent,time_to_maturity,moneyness,moneyness_category,implied_volatility,implied_volatility_pct
2026-01-13 17:26:08.240370,NIFTY2611325800CE,2026-01-13,25800.0,CE,25732.3,0.05,1959547395,0,96005,16271515,38389650,9905025,0.0,0.05,0,0,0.0027397260273972603,0.997375968992248,ATM,0.01892443847656241,1.8924438476562409
2026-01-13 17:26:08.240553,NIFTY2611325800PE,2026-01-13,25800.0,PE,25732.3,67.7,1037947885,520,195,5384990,21905325,5335785,67.65,67.75,0,0,0.0027397260273972603,1.002630934661884,ATM,0.042166625976562434,4.216662597656243
2026-01-13 17:26:08.240711,NIFTY2611325750CE,2026-01-13,25750.0,CE,25732.3,0.05,2766043215,0,2030925,27602380,46705165,3176420,0.0,0.05,0,0,0.0027397260273972603,0.9993126213592233,ATM,,
2026-01-13 17:26:08.240851,NIFTY2611325750PE,2026-01-13,25750.0,PE,25732.3,17.7,1734336305,28340,108810,9768135,22444695,4274010,17.65,17.75,0,0,0.0027397260273972603,1.0006878514551751,ATM,0.0167967529296874,1.6796752929687402
2026-01-13 17:26:08.240987,NIFTY2611325850CE,2026-01-13,25850.0,CE,25732.3,0.05,1170271700,0,171275,9205755,26024310,6340490,0.0,0.05,0,0,0.0027397260273972603,0.9954468085106383,ATM,0.031631591796874914,3.1631591796874914
2026-01-13 17:26:08.241115,NIFTY2611325850PE,2026-01-13,25850.0,PE,25732.3,117.4,330006755,780,715,725855,9296170,725855,117.45,117.75,0,0,0.0027397260273972603,1.0045740178685931,ATM,0.06238476562499994,6.2384765624999945
2026-01-13 17:26:08.241241,NIFTY2611325700CE,2026-01-13,25700.0,CE,25732.3,32.2,2353114270,37635,107510,11841830,47798075,4114890,32.2,32.3,0,0,0.0027397260273972603,1.0012568093385215,ATM,,
2026-01-13 17:26:08.241361,NIFTY2611325700PE,2026-01-13,25700.0,PE,25732.3,0.05,2959328840,0,2957305,23062585,44711160,10682945,0.0,0.05,0,0,0.0027397260273972603,0.9987447682484659,ATM,0.011427124023437402,1.14271240234374
2026-01-13 17:26:08.241492,NIFTY2611325900CE,2026-01-13,25900.0,CE,25732.3,0.05,1112128225,0,272025,9627475,36219235,9627475,0.0,0.05,0,0,0.0027397260273972603,0.9935250965250965,ATM,0.04382775878906243,4.3827758789062425
2026-01-13 17:26:08.241615,NIFTY2611325900PE,2026-01-13,25900.0,PE,25732.3,167.75,200786495,195,195,1452555,7468630,1452555,167.35,167.75,0,0,0.0027397260273972603,1.0065171010753022,ATM,0.08403503417968747,8.403503417968746
2026-01-13 17:26:08.241739,NIFTY2611325650CE,2026-01-13,25650.0,CE,25732.3,81.9,1165996130,130,18590,6788535,39020670,1166295,81.9,82.25,0,0,0.0027397260273972603,1.0032085769980505,ATM,,
2026-01-13 17:26:08.241864,NIFTY2611325650PE,2026-01-13,25650.0,PE,25732.3,0.05,2460244215,0,502190,13118430,31946070,5686460,0.0,0.05,0,0,0.0027397260273972603,0.9968016850417569,ATM,0.02468200683593741,2.468200683593741
2026-01-13 17:26:08.241986,NIFTY2611325950CE,2026-01-13,25950.0,CE,25732.3,0.05,672057620,0,47970,4777565,20256730,4777565,0.0,0.05,0,0,0.0027397260273972603,0.9916107899807322,ATM,0.05569494628906244,5.569494628906244
2026-01-13 17:26:08.242108,NIFTY2611325950PE,2026-01-13,25950.0,PE,25732.3,217.9,39621660,325,65,555620,1600430,555620,217.35,217.9,0,0,0.0027397260273972603,1.0084601842820113,ATM,0.10403015136718749,10.403015136718748
2026-01-13 17:26:08.242228,NIFTY2611325600CE,2026-01-13,25600.0,CE,25732.3,132.0,459798560,130,845,2180555,17953585,1838850,131.9,132.2,0,0,0.0027397260273972603,1.00516796875,ATM,0.0139453124999999,1.39453124999999
2026-01-13 17:26:08.242348,NIFTY2611325600PE,2026-01-13,25600.0,PE,25732.3,0.05,2261021815,116480,186485,9110855,41805270,9110855,0.05,0.1,0,0,0.0027397260273972603,0.9948586018350478,ATM,0.03724389648437493,3.7243896484374925
2026-01-13 17:26:08.242467,NIFTY2611326000CE,2026-01-13,26000.0,CE,25732.3,0.05,629714280,372775,218010,10627240,29444675,10627240,0.05,0.1,0,0,0.0027397260273972603,0.9897038461538461,ATM,0.06732031249999995,6.732031249999995
2026-01-13 17:26:08.242584,NIFTY2611326000PE,2026-01-13,26000.0,PE,25732.3,267.6,47786115,1300,325,1844050,3374475,1844050,267.6,268.0,0,0,0.0027397260273972603,1.0104032674887204,ATM,0.12054663085937499,12.054663085937499
2026-01-13 17:26:08.242707,NIFTY2611325550CE,2026-01-13,25550.0,CE,25732.3,181.7,86387795,585,260,736775,3476395,736775,181.7,182.2,0,0,0.0027397260273972603,1.0071350293542074,ATM,0.013999999999999901,1.3999999999999901
2026-01-13 17:26:08.242827,NIFTY2611325550PE,2026-01-13,25550.0,PE,25732.3,0.05,1201408715,0,619450,5355480,23284690,5355480,0.0,0.05,0,0,0.0027397260273972603,0.9929155186283387,ATM,0.04944006347656243,4.944006347656242
2026-01-13 17:26:08.242953,NIFTY2611326050CE,2026-01-13,26050.0,CE,25732.3,0.05,285092535,0,71435,3916445,11794055,3916445,0.0,0.05,0,0,0.0027397260273972603,0.9878042226487523,ATM,0.07875341796874996,7.875341796874996
2026-01-13 17:26:08.243074,NIFTY2611326050PE,2026-01-13,26050.0,PE,25732.3,318.45,5542030,130,130,238550,558870,220870,318.1,318.2,0,0,0.0027397260273972603,1.0123463506954296,ATM,0.14437670898437505,14.437670898437505
